1	4.13	8.11	11.37	14.36	17.2	19.95	22.63	25.26	27.84
1	4.13	8.11	11.37	14.36	17.2	19.95	22.63	25.26	27.84
2	11.23	14.96	18.33	21.49	24.53	27.47	30.35	33.16	35.92
2	12.32	18.25	23.72	28.95	34.03	39.01	43.91	48.75	53.53
3	17.8	21.43	24.83	28.08	31.21	34.27	37.23	40.16	43.05
3	24.28	32.2	39.79	47.16	54.39	61.53	68.57	75.54	82.47
4	24.16	27.76	31.18	34.46	37.66	40.77	43.81	46.82	49.78
4	40.17	50.12	59.77	69.23	78.57	87.79	96.96	106.07	115.08
5	30.42	33.99	37.41	40.73	43.96	47.1	50.22	53.27	56.28
5	60.06	71.98	83.69	95.22	106.62	117.92	129.16	140.35	151.49
6	36.61	40.16	43.59	46.93	50.18	53.39	56.54	59.63	62.67
6	83.94	97.86	111.59	125.18	138.63	152	165.3	178.54	191.72
7	42.76	46.29	49.75	53.09	56.37	59.6	62.76	65.88	68.96
7	111.79	127.73	143.49	159.12	174.65	190.08	205.43	220.74	235.98
8	48.87	52.4	55.83	59.19	62.5	65.73	68.92	72.07	75.18
8	143.64	161.59	179.33	196.99	214.58	232.03	249.43	266.76	284.02
9	54.97	58.49	61.92	65.31	68.62	71.88	75.09	78.27	81.39
9	179.48	199.41	219.24	238.91	258.51	278.02	297.44	316.8	336.12
10	61.04	64.54	67.98	71.36	74.68	77.95	81.18	84.38	87.54
10	219.38	241.31	263.12	284.82	306.43	327.96	349.42	370.84	392.22
11	67.06	70.58	74.02	77.42	80.74	84.02	87.26	90.47	93.65
11	263.25	287.2	310.97	334.69	358.33	381.86	405.37	428.79	452.16
12	73.1	76.6	80.04	83.41	86.76	90.06	93.34	96.56	99.77
12	311.09	336.98	362.81	388.56	414.19	439.77	465.29	490.71	516.16
